Name,link,Org Name,Org Link,Notes,Formats
Registered Lift Workers,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-lift-workers,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Vehicle Mechanics,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-vehicle-mechanics-mechanics,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registers of Personnel on Gas - Competent Persons (Class 1a & 1b),https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registers-of-personnel-on-gas-1,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registers of Personnel on Gas - Competent Persons (Class 2),https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registers-of-personnel-on-gas-2,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registers of Personnel on Gas - Competent Persons (Class 3),https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registers-of-personnel-on-gas-3,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Restaurant Receipts and Purchases,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-qsr,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,XML,"
Retail Sales,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-mrs,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,XML,"
Statistical Digest of the Services Sector,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-ssd,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XLS,"
Statistics of Designs Applied For (by Country of Origin/Region of Applicants),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-designs-applied-for,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Statistics of Designs Registered (by Country of Origin/Region of Registered Owners),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-designs-registered,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Statistics of Short-Term Patent Applications Filed (by Country of Origin/Region of Applicants),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-short-term-patent-applications-filed,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Statistics of Short-Term Patents Granted (by Country of Origin/Region of Proprietors),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-short-term-patent-granted,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Statistics of Standard Patent Applications Filed (by Country of Origin/Region of Applicants),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-standard-patent-applications-filed,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Statistics of Standard Patents Granted (by Country of Origin/Region of Proprietors),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-standard-patents-granted,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Statistics of Trade Mark Applications (by Country of Origin/Region of Applicants),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-trade-marks-applications,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Statistics of Trade Mark Registrations (by Country of Origin/Region of Registered Owners),https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-trade-marks-registrations,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
"Statistics of Trade Marks, Patents, Designs and Copyright Licensing Bodies - applications and registrations/grants",https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-statistics-trade-mark-patents-designs-copyright-licensing-bodies,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Strategic Commodities Control - Free eMail Notification Services,https://data.gov.hk/en-data/dataset/hk-tid-itms-stc-email-notification-services,Trade and Industry Department,https://data.gov.hk/en-datasets/provider/hk-tid ,,"XML,"
Value and Proportion of Trade Involving Outward Processing in the Mainland of China,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-tiop,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,"
Visitor statistics,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-visitor-statistics,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XLS,XLSX,"
1:100 000 Orthophoto Map of Hong Kong,https://data.gov.hk/en-data/dataset/hk-landsd-openmap-orthophoto-map-of-hong-kong,Lands Department,https://data.gov.hk/en-datasets/provider/hk-landsd ,,"TIF,"
